Plant ID,Length (px)
test_image_1_plant_1,591.1
test_image_1_plant_2,529.7
test_image_1_plant_3,684.7
test_image_1_plant_4,448.2
test_image_1_plant_5,654.6
test_image_2_plant_1,1136.0
test_image_2_plant_2,1607.5
test_image_2_plant_3,1271.2
test_image_2_plant_4,1292.7
test_image_2_plant_5,1121.1
test_image_3_plant_1,589.7
test_image_3_plant_2,1354.0
test_image_3_plant_3,1459.8
test_image_3_plant_4,1505.8
test_image_3_plant_5,1170.8
test_image_4_plant_1,1009.9
test_image_4_plant_2,1230.3
test_image_4_plant_3,932.5
test_image_4_plant_4,1003.2
test_image_4_plant_5,994.9
test_image_5_plant_1,1445.5
test_image_5_plant_2,1189.9
test_image_5_plant_3,1125.0
test_image_5_plant_4,1374.6
test_image_5_plant_5,1762.0
test_image_6_plant_1,0.0
test_image_6_plant_2,0.0
test_image_6_plant_3,0.0
test_image_6_plant_4,0.0
test_image_6_plant_5,0.0
test_image_7_plant_1,0.0
test_image_7_plant_2,150.3
test_image_7_plant_3,0.0
test_image_7_plant_4,131.9
test_image_7_plant_5,0.0
test_image_8_plant_1,241.8
test_image_8_plant_2,287.3
test_image_8_plant_3,314.9
test_image_8_plant_4,349.1
test_image_8_plant_5,271.5
test_image_9_plant_1,420.1
test_image_9_plant_2,393.0
test_image_9_plant_3,0.0
test_image_9_plant_4,434.7
test_image_9_plant_5,363.3
test_image_10_plant_1,634.3
test_image_10_plant_2,688.0
test_image_10_plant_3,772.4
test_image_10_plant_4,813.2
test_image_10_plant_5,761.6
test_image_11_plant_1,642.4
test_image_11_plant_2,1213.9
test_image_11_plant_3,0.0
test_image_11_plant_4,1342.4
test_image_11_plant_5,1407.5
